"cc_num","num_dist_merch"
"6.01137E+15","692"
"6.53463E+15","688"
"2.13179E+14","687"
"4.30248E+15","687"
"4.58681E+15","686"
"3.54511E+15","686"
"2.72043E+15","684"
"3.8052E+13","684"
"6.0115E+15","683"
"3.55122E+15","683"
"3.50209E+15","683"
"4.58766E+18","683"
"3.56609E+15","682"
"6.01169E+15","681"
"4.746E+12","681"
"5.71365E+11","681"
"4.90663E+18","681"
"3.7252E+14","681"
"4.837E+15","680"
"2.24254E+15","680"
"3.4471E+14","680"
"3.40954E+14","680"
"4.65388E+15","680"
"4.17069E+15","680"
"4.00568E+15","680"
"4.09971E+15","680"
"3.02354E+13","680"
"6.30452E+11","679"
"6.53844E+15","679"
"6.01111E+15","679"
"2.13112E+14","679"
"4.64226E+15","679"
"3.55661E+15","678"
"3.57579E+15","678"
"4.95683E+18","678"
"3.58364E+15","678"
"4.90885E+15","678"
"3.45934E+14","678"
"4.36401E+15","678"
"5.81686E+11","678"
"3.67227E+13","678"
"4.51283E+18","677"
"2.13157E+14","677"
"2.28374E+15","677"
"2.26494E+15","677"
"6.30423E+11","677"
"6.01135E+15","677"
"3.55363E+15","677"
"3.52559E+15","676"
"2.13142E+14","676"
"4.537E+18","676"
"3.57602E+15","676"
"6.01144E+15","676"
"3.76445E+14","675"
"3.51138E+15","675"
"3.5608E+15","675"
"3.57643E+15","675"
"3.59074E+15","675"
"3.02704E+13","675"
"6.53889E+15","675"
"3.0273E+13","675"
"3.58926E+15","675"
"4.79263E+18","675"
"4.90063E+12","674"
"6.01165E+15","674"
"3.52142E+15","674"
"3.72509E+14","674"
"3.70877E+14","674"
"1.80094E+14","674"
"1.80036E+14","673"
"4.71656E+15","673"
"4.00399E+15","673"
"3.59636E+15","673"
"3.59519E+15","673"
"1.80048E+14","673"
"2.13161E+14","673"
"3.5677E+15","673"
"5.54064E+15","672"
"1.80065E+14","672"
"3.53374E+15","672"
"1.80068E+14","672"
"4.7557E+12","672"
"4.56155E+12","672"
"3.0235E+13","672"
"4.6817E+12","671"
"3.42952E+14","671"
