"cc_num","days_total"
"6.01137E+15","249"
"4.30248E+15","163"
"4.36401E+15","103"
"2.72043E+15","100"
"2.13179E+14","99"
"4.58766E+18","94"
"6.53844E+15","91"
"3.0273E+13","91"
"4.746E+12","91"
"3.54511E+15","89"
"4.58681E+15","89"
"6.53463E+15","89"
"3.7252E+14","87"
"2.24254E+15","81"
"3.4471E+14","79"
"3.58364E+15","79"
"2.71221E+15","79"
"2.13174E+14","77"
"6.01111E+15","77"
"1.80048E+14","77"
"2.13161E+14","76"
"6.01189E+15","76"
"3.57643E+15","75"
"4.64226E+15","74"
"1.80065E+14","73"
"3.56609E+15","72"
"3.67227E+13","71"
"2.13142E+14","70"
"6.01144E+15","70"
"4.93998E+15","70"
"3.5608E+15","69"
"3.59074E+15","69"
"5.71365E+11","68"
"4.837E+15","68"
"4.90468E+15","68"
"4.71656E+15","66"
"2.13112E+14","65"
"6.30425E+11","65"
"3.5677E+15","65"
"3.52142E+15","65"
"3.57602E+15","65"
"4.90885E+15","64"
"3.02704E+13","64"
"6.01165E+15","64"
"1.80094E+14","63"
"3.55122E+15","63"
"6.53889E+15","63"
"3.45934E+14","63"
"3.51867E+15","62"
"6.30423E+11","62"
"3.53374E+15","62"
"3.02388E+13","62"
"6.01169E+15","62"
"3.42952E+14","62"
"3.54116E+15","61"
"2.26494E+15","61"
"3.59622E+15","60"
"2.28374E+15","60"
"3.55363E+15","60"
"4.65388E+15","60"
"6.0115E+15","60"
"4.79263E+18","59"
"3.76445E+14","59"
"3.72509E+14","58"
"6.30452E+11","57"
"3.51823E+15","55"
"4.51283E+18","55"
"3.8052E+13","52"
"3.55661E+15","51"
"3.50097E+15","51"
"3.57579E+15","50"
"3.73905E+14","49"
"4.86131E+18","48"
"3.50209E+15","45"
"3.69136E+13","44"
"4.6816E+15","43"
"1.80047E+14","42"
"3.58601E+15","41"
"4.95683E+18","41"
"3.00443E+13","41"
"5.67868E+11","41"
"3.05516E+13","40"
"2.13158E+14","39"
"3.5296E+15","39"
"3.53113E+15","38"
"3.50604E+15","38"
"6.01139E+15","38"
"3.01996E+13","38"
"3.02354E+13","38"
"6.01168E+15","38"
"2.25492E+15","37"
"3.01318E+13","37"
"3.40954E+14","36"
"6.0111E+15","36"
"3.59519E+15","36"
"1.80031E+14","36"
"5.81686E+11","36"
"4.537E+18","36"
"5.03874E+11","35"
"5.54064E+15","35"
"6.01172E+15","35"
"4.7973E+18","35"
"4.6817E+12","35"
"1.80068E+14","35"
"3.54359E+15","35"
"6.39024E+11","34"
"4.00399E+15","34"
"4.64685E+18","34"
"3.46273E+14","33"
"2.29601E+15","33"
"3.50194E+15","33"
"3.59822E+15","33"
"1.80036E+14","33"
"3.52559E+15","32"
"3.71226E+14","32"
"3.77027E+14","32"
"3.70877E+14","32"
"3.58926E+15","32"
"4.09971E+15","32"
"6.01135E+15","31"
"6.76373E+11","31"
"3.58796E+15","30"
"3.7493E+14","30"
"3.51138E+15","30"
"4.56155E+12","30"
"4.7557E+12","29"
"4.17069E+15","29"
"4.90063E+12","29"
"2.13157E+14","29"
"4.90663E+18","29"
"3.52754E+15","29"
"3.0235E+13","28"
"4.45237E+15","28"
"3.58929E+15","28"
"4.46446E+12","28"
"4.00568E+15","27"
"3.64859E+13","26"
"6.51722E+15","24"
"3.05612E+13","22"
"5.02013E+11","21"
"1.80085E+14","20"
"4.18183E+18","20"
"3.56073E+15","20"
"4.64289E+12","20"
"3.85805E+13","20"
"3.57758E+15","20"
"3.00747E+13","20"
"3.74498E+14","19"
"4.99811E+15","19"
"3.00304E+13","19"
"6.76369E+11","19"
"4.99049E+12","19"
"4.6404E+12","19"
"4.76943E+18","19"
"6.50612E+15","18"
"3.56484E+15","18"
"4.29493E+12","18"
"4.44637E+15","18"
"3.51362E+15","18"
"4.33423E+15","18"
"3.04282E+13","18"
"6.0114E+15","18"
"4.50914E+15","18"
"2.70319E+15","17"
"4.15502E+15","17"
"3.58275E+15","17"
"4.70899E+15","17"
"3.5469E+15","17"
"2.13181E+14","17"
"6.59789E+15","17"
"4.87378E+15","17"
"5.84674E+11","16"
"6.30469E+11","16"
"6.01186E+15","16"
"2.29745E+15","16"
"2.38346E+15","16"
"4.84131E+15","16"
"1.80043E+14","16"
"4.73685E+18","16"
"4.63496E+15","16"
"3.53433E+15","16"
"3.55916E+15","16"
"3.56788E+15","16"
"4.19847E+12","16"
"3.77234E+14","16"
"3.82956E+13","15"
"4.44953E+15","15"
"2.26674E+15","15"
"3.51237E+15","15"
"4.09245E+18","15"
"3.71284E+14","15"
"4.9883E+12","15"
"1.80049E+14","15"
"4.99773E+15","15"
"4.65849E+15","15"
"3.77114E+14","15"
"3.56826E+15","15"
"3.85305E+13","15"
"4.67173E+15","15"
"2.24874E+15","15"
"3.51487E+15","15"
"6.30442E+11","15"
"6.30485E+11","15"
"4.43088E+15","15"
"4.58626E+12","15"
"4.06998E+15","15"
"3.75248E+14","15"
"4.81084E+18","15"
"3.52683E+15","15"
"4.14964E+12","14"
"3.75975E+14","14"
"4.26578E+15","14"
"3.50151E+15","14"
"6.76102E+11","14"
"4.62356E+12","14"
"4.8097E+12","14"
"4.45195E+15","14"
"4.86229E+12","14"
"3.56032E+15","14"
"4.5E+12","14"
"4.99235E+18","14"
"3.77993E+14","14"
"5.45678E+15","14"
"3.01184E+13","14"
"4.07977E+12","13"
"4.62945E+15","13"
"3.52384E+15","13"
"3.4879E+14","13"
"4.42434E+15","13"
"6.76195E+11","13"
"4.40001E+18","13"
"4.83962E+15","13"
"3.05016E+13","13"
"4.95165E+15","13"
"4.31958E+18","13"
"3.01974E+13","13"
"5.35954E+15","13"
"3.60781E+13","13"
"5.71465E+11","13"
"1.80011E+14","13"
"6.01154E+15","13"
"2.25206E+15","13"
"2.23561E+15","13"
"3.85885E+13","13"
"4.47684E+12","13"
"3.54008E+15","13"
"3.5983E+15","12"
"3.59636E+15","12"
"3.04077E+13","12"
"3.57303E+15","12"
"3.76028E+14","12"
"4.45773E+18","12"
"4.46978E+18","12"
"4.22371E+18","12"
"6.01115E+15","12"
"3.00268E+13","12"
"5.7386E+11","11"
"2.13194E+14","11"
"2.72001E+15","11"
"3.00291E+13","11"
"3.0176E+13","11"
"3.45389E+14","11"
"3.58379E+15","11"
"3.58574E+15","11"
"3.71009E+14","11"
"4.12873E+18","11"
"4.14761E+15","11"
"4.14924E+15","11"
"4.15895E+15","11"
"4.30103E+18","11"
"4.37734E+15","11"
"4.45083E+15","11"
"4.5604E+18","11"
"4.58758E+15","11"
"4.85549E+18","11"
"6.01138E+15","11"
"3.8199E+13","10"
"4.2929E+18","10"
"4.51424E+15","10"
"3.05182E+13","10"
"6.7599E+11","10"
"4.97942E+15","10"
"2.13153E+14","10"
"4.37899E+15","10"
"4.82666E+15","10"
"3.53301E+15","9"
"4.17395E+15","9"
"2.13126E+14","9"
"4.26013E+12","9"
"3.50659E+15","9"
"5.71844E+11","9"
"3.75534E+14","9"
"3.75083E+14","9"
"4.32893E+15","9"
"4.12803E+15","8"
"4.0891E+18","8"
"4.42781E+12","8"
"2.28624E+15","8"
"4.68364E+12","7"
"3.05606E+13","7"
"3.43464E+14","7"
"6.76174E+11","7"
"3.43669E+14","7"
"4.16976E+15","7"
"4.19111E+15","7"
"3.72246E+14","7"
"2.13191E+14","7"
"6.76299E+11","7"
"5.77589E+11","7"
"4.48826E+18","7"
"3.80575E+13","7"
"3.5239E+15","7"
"3.51876E+15","7"
"4.95859E+18","7"
"5.59635E+15","6"
"6.55425E+15","6"
"3.51961E+15","6"
"2.22938E+15","6"
"2.2548E+15","6"
"3.03284E+13","6"
"6.01133E+15","6"
"4.38491E+15","6"
"4.60707E+15","6"
"3.76657E+14","6"
"3.78279E+14","6"
"2.13162E+14","6"
"2.13175E+14","6"
"3.59312E+15","6"
"4.48243E+15","6"
"6.54767E+15","5"
"3.70612E+14","5"
"4.18653E+12","5"
"4.27723E+15","5"
"3.74125E+14","5"
"1.80073E+14","5"
"6.30426E+11","5"
"4.34253E+15","5"
"6.75946E+11","5"
"2.28881E+15","5"
"4.78323E+12","5"
"3.57554E+15","5"
"5.83699E+11","5"
"2.71391E+15","5"
"4.0666E+12","5"
"4.47432E+15","5"
"3.55258E+15","5"
"3.02906E+13","5"
"1.80067E+14","5"
"3.54756E+15","5"
"5.50108E+15","5"
"5.01899E+11","5"
"3.02635E+13","5"
"4.71574E+18","5"
"4.61005E+15","5"
"4.98113E+12","5"
"4.92638E+15","5"
"4.11976E+15","5"
"3.72382E+14","5"
"6.59325E+15","5"
"6.59286E+15","5"
"6.57356E+15","5"
"4.89042E+18","5"
"3.67214E+13","4"
"5.55986E+15","4"
"3.54757E+15","4"
"4.22973E+15","4"
"4.61331E+12","4"
"4.8004E+15","4"
"4.5506E+15","4"
"6.51135E+15","4"
"5.38866E+15","4"
"4.56E+18","4"
"4.16939E+12","4"
"3.01435E+13","4"
"2.29116E+15","4"
"3.50238E+15","4"
"4.06058E+15","4"
"2.30534E+15","4"
"3.54021E+15","4"
"4.71083E+18","4"
"2.34825E+15","4"
"3.03641E+13","4"
"1.80018E+14","4"
"2.26977E+15","4"
"3.02305E+13","4"
"2.13125E+14","4"
"4.06714E+15","4"
"3.89477E+13","4"
"3.44342E+14","4"
"6.012E+15","4"
"4.01E+15","4"
"6.59597E+15","4"
"3.74656E+14","4"
"4.29404E+15","4"
"4.50254E+18","4"
"4.5031E+18","4"
"2.70698E+15","3"
"3.75768E+14","3"
"4.22035E+12","3"
"4.42349E+15","3"
"3.56196E+15","3"
"3.5607E+15","3"
"3.55968E+15","3"
"3.5492E+15","3"
"4.53857E+12","3"
"60416207185","3"
"4.59929E+15","3"
"3.52457E+15","3"
"3.52182E+15","3"
"3.50418E+15","3"
"3.45832E+14","3"
"4.7614E+18","3"
"3.43746E+14","3"
"3.42351E+14","3"
"3.41546E+14","3"
"60422928733","3"
"4.87402E+15","3"
"3.04424E+13","3"
"4.93586E+15","3"
"5.01803E+11","3"
"3.01507E+13","3"
"3.01031E+13","3"
"5.81293E+11","3"
"2.57671E+15","3"
"6.01125E+15","3"
"2.23388E+15","3"
"2.13196E+14","3"
"2.13148E+14","3"
"3.78905E+14","3"
"3.77655E+14","3"
"4.02561E+15","3"
"3.53852E+15","2"
"3.5149E+15","2"
"3.0267E+13","2"
"4.29274E+18","2"
"4.0401E+18","2"
"4.58513E+12","2"
"3.49613E+14","2"
"2.47509E+15","2"
"3.56874E+15","2"
"3.01352E+13","2"
"4.24792E+12","2"
"2.13113E+14","2"
"2.13103E+14","2"
"3.87974E+13","2"
"3.03433E+13","2"
"6.54098E+15","2"
"4.23955E+15","2"
"4.41058E+18","2"
"3.75849E+14","2"
"3.02353E+13","2"
"4.21008E+18","2"
"60490596305","2"
"4.37926E+18","2"
"3.5338E+15","2"
"6.01149E+15","2"
"3.01535E+13","2"
"4.81079E+18","2"
"3.4232E+14","2"
"3.58704E+15","2"
"5.61943E+11","2"
"4.68352E+15","2"
"4.35579E+18","2"
"3.0082E+13","2"
"2.132E+14","2"
"4.04851E+15","2"
"4.70787E+15","2"
"4.1781E+15","2"
"3.59192E+15","2"
"3.55865E+15","2"
"4.31137E+18","1"
"3.59924E+15","1"
"6.76282E+11","1"
"2.13156E+14","1"
"4.02622E+12","1"
"2.13127E+14","1"
"4.2662E+15","1"
"6.3903E+11","1"
"4.26006E+15","1"
"6.50698E+15","1"
"1.80099E+14","1"
"1.80081E+14","1"
"6.5504E+15","1"
"4.22599E+18","1"
"4.2205E+18","1"
"4.7881E+12","1"
"4.77707E+15","1"
"4.74288E+18","1"
"4.74071E+15","1"
"4.20811E+18","1"
"3.47073E+14","1"
"4.19574E+12","1"
"3.41543E+14","1"
"3.41283E+14","1"
"6.59674E+15","1"
"3.40951E+14","1"
"4.72724E+15","1"
"3.48379E+14","1"
"4.71079E+15","1"
"6.7591E+11","1"
"4.89707E+18","1"
"3.0427E+13","1"
"3.0371E+13","1"
"4.91719E+15","1"
"1.80046E+14","1"
"4.95258E+15","1"
"3.51753E+15","1"
"4.961E+15","1"
"4.96986E+15","1"
"3.52055E+15","1"
"3.52823E+15","1"
"4.98985E+18","1"
"4.59357E+12","1"
"6.76149E+11","1"
"5.01851E+11","1"
"4.102E+18","1"
"3.01437E+13","1"
"3.54667E+15","1"
"1.80017E+14","1"
"4.50992E+15","1"
"5.58056E+15","1"
"4.47157E+12","1"
"3.0093E+13","1"
"2.7195E+15","1"
"3.56268E+15","1"
"4.45144E+15","1"
"3.79897E+14","1"
"3.56384E+15","1"
"4.04504E+18","1"
"3.57779E+15","1"
"6.01131E+15","1"
"3.58505E+15","1"
"4.39097E+18","1"
"2.28507E+15","1"
"4.36538E+15","1"
"2.24835E+15","1"
"3.7755E+14","1"
"2.222E+15","1"
"4.34496E+15","1"
